1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
-65.34,-28.09,-83.05,-79.38,-45.19,-39.08,-16.49,-56.79,-50.07,-1.221,-1.221,-51.29,-33.59,-21.37,-56.79,-15.27,-58.01,-59.84,-59.84,-42.13
-64.73,-27.48,-81.83,-78.77,-45.19,-39.69,-16.49,-57.4,-51.29,-1.221,-1.221,-51.29,-33.59,-21.98,-56.79,-15.27,-58.62,-60.45,-59.84,-42.75
-62.9,-27.48,-80.61,-78.16,-45.19,-40.3,-17.1,-56.79,-51.29,-1.832,-1.221,-51.91,-33.59,-21.37,-56.79,-15.27,-58.62,-60.45,-59.84,-42.13
-62.29,-26.26,-80,-76.33,-45.8,-40.3,-17.1,-56.79,-51.91,-1.832,-1.221,-52.52,-33.59,-21.98,-56.79,-15.88,-58.01,-61.06,-59.84,-43.36
-61.68,-26.26,-78.77,-76.33,-44.58,-39.69,-17.71,-57.4,-51.91,-1.221,-1.221,-51.91,-33.59,-23.2,-57.4,-15.88,-58.62,-61.68,-59.84,-43.36
-60.45,-25.65,-78.16,-75.11,-44.58,-40.3,-17.1,-57.4,-51.91,-1.832,-1.221,-52.52,-34.2,-22.59,-57.4,-15.88,-59.23,-61.68,-59.84,-43.36
-59.23,-25.04,-76.94,-74.5,-44.58,-40.3,-18.32,-57.4,-52.52,-1.832,-0.611,-52.52,-33.59,-23.2,-57.4,-15.88,-59.23,-61.06,-59.84,-43.36
-58.62,-25.04,-76.33,-73.28,-44.58,-40.3,-17.71,-58.01,-52.52,-1.832,-0.611,-53.13,-34.2,-23.82,-57.4,-16.49,-59.23,-61.68,-60.45,-43.36
-58.01,-25.65,-75.72,-72.67,-44.58,-40.91,-18.32,-57.4,-52.52,-2.44,-0.611,-53.13,-34.2,-23.82,-57.4,-17.1,-59.23,-62.29,-60.45,-43.36
-56.79,-24.43,-75.11,-72.06,-44.58,-40.3,-18.32,-58.01,-53.13,-2.44,-0.611,-53.74,-34.2,-23.82,-57.4,-17.1,-59.23,-61.68,-60.45,-43.36
-56.18,-24.43,-73.89,-70.84,-44.58,-40.91,-18.93,-58.01,-53.74,-3.05,-0.611,-53.74,-34.2,-24.43,-57.4,-16.49,-59.23,-62.9,-60.45,-43.97
-55.57,-24.43,-73.89,-70.22,-43.97,-40.91,-19.54,-58.62,-54.35,-3.66,-1.221,-54.35,-34.2,-24.43,-58.01,-16.49,-59.84,-62.9,-60.45,-43.97
-54.96,-23.82,-72.67,-69.61,-44.58,-40.91,-19.54,-58.62,-53.74,-3.05,-0.611,-54.96,-34.81,-25.04,-57.4,-17.1,-60.45,-63.51,-61.06,-43.97
-54.35,-23.82,-72.06,-69,-43.97,-41.52,-20.15,-58.62,-54.35,-4.27,-0.611,-54.96,-35.42,-25.04,-58.01,-17.1,-59.84,-63.51,-60.45,-44.58
-53.13,-23.2,-71.45,-68.39,-43.97,-41.52,-20.15,-59.23,-54.96,-3.66,-1.221,-54.96,-34.81,-25.65,-58.01,-17.71,-59.84,-63.51,-60.45,-45.19
-52.52,-23.2,-70.84,-67.78,-43.97,-40.91,-21.37,-59.23,-55.57,-4.27,-0.611,-55.57,-35.42,-25.65,-58.01,-17.71,-59.23,-63.51,-61.06,-45.19
-51.91,-22.59,-70.22,-67.17,-44.58,-41.52,-21.37,-59.84,-54.96,-4.27,-0.611,-55.57,-36.03,-26.26,-58.01,-17.71,-59.84,-64.12,-61.06,-45.19
-51.29,-22.59,-69.61,-66.56,-43.97,-41.52,-21.98,-59.84,-55.57,-4.27,-0.611,-55.57,-36.03,-26.26,-59.23,-18.32,-60.45,-64.73,-61.06,-45.8
-50.07,-22.59,-69,-67.17,-43.36,-41.52,-22.59,-60.45,-56.18,-4.89,-0.611,-56.18,-36.03,-26.87,-58.62,-18.32,-59.84,-64.12,-61.06,-45.8
-50.07,-22.59,-68.39,-65.95,-43.36,-42.13,-22.59,-61.06,-56.18,-4.89,-1.221,-56.18,-36.03,-27.48,-58.62,-18.32,-60.45,-64.12,-61.68,-46.41
-49.46,-21.98,-67.78,-65.34,-43.36,-42.13,-23.2,-61.06,-56.79,-4.89,-1.221,-56.79,-36.64,-27.48,-59.23,-18.32,-60.45,-64.12,-61.06,-46.41
-48.85,-22.59,-68.39,-65.34,-43.36,-41.52,-23.82,-61.06,-57.4,-4.89,-1.832,-56.79,-36.64,-27.48,-58.62,-18.93,-60.45,-64.73,-61.68,-46.41
-48.24,-21.98,-67.17,-64.12,-43.97,-42.13,-24.43,-61.68,-57.4,-4.89,-1.221,-56.79,-37.25,-28.09,-59.23,-18.93,-60.45,-64.73,-61.68,-46.41
-47.63,-21.98,-66.56,-64.12,-43.36,-41.52,-25.04,-61.68,-57.4,-4.89,-1.221,-57.4,-37.86,-28.7,-59.23,-19.54,-60.45,-65.34,-61.06,-47.02
-48.24,-21.98,-66.56,-63.51,-43.97,-42.75,-25.65,-62.29,-58.01,-5.5,-1.221,-57.4,-37.86,-28.09,-59.23,-19.54,-60.45,-64.73,-61.68,-47.02
-48.85,-21.98,-65.95,-62.9,-43.36,-42.75,-26.26,-62.9,-58.62,-5.5,-1.832,-57.4,-37.25,-28.09,-59.23,-19.54,-60.45,-65.34,-61.68,-47.63
-47.63,-21.98,-65.34,-62.9,-43.36,-42.75,-26.26,-63.51,-58.62,-4.89,-1.832,-57.4,-37.86,-28.7,-59.23,-19.54,-61.06,-65.34,-61.68,-47.63
-47.02,-21.98,-65.34,-61.68,-43.36,-42.13,-26.87,-63.51,-59.23,-5.5,-1.832,-58.01,-37.86,-28.7,-59.23,-20.15,-60.45,-65.34,-61.68,-47.63
-46.41,-21.37,-64.73,-62.29,-42.75,-42.13,-26.87,-64.12,-59.84,-6.11,-2.44,-58.01,-38.47,-29.31,-59.23,-20.15,-61.68,-65.95,-62.29,-48.24
-46.41,-21.98,-64.12,-62.29,-43.36,-42.75,-28.7,-64.12,-59.84,-6.11,-2.44,-58.01,-39.08,-29.92,-59.23,-20.15,-61.06,-65.95,-62.29,-48.24
-45.8,-21.98,-64.12,-61.06,-43.36,-43.36,-28.7,-65.34,-59.84,-5.5,-2.44,-58.01,-39.69,-30.53,-59.84,-20.76,-61.06,-65.34,-61.68,-48.24
-45.8,-21.98,-63.51,-61.06,-43.36,-42.75,-29.31,-65.34,-60.45,-5.5,-2.44,-58.01,-39.69,-30.53,-59.84,-20.76,-61.06,-65.34,-62.29,-48.24
-45.19,-21.37,-63.51,-61.06,-43.36,-42.75,-29.92,-65.34,-61.06,-6.11,-2.44,-58.62,-39.69,-30.53,-59.23,-20.76,-61.06,-65.95,-62.29,-48.85
-45.19,-21.98,-62.9,-60.45,-42.75,-42.75,-30.53,-66.56,-61.68,-6.11,-3.05,-59.23,-40.3,-31.14,-59.84,-21.37,-61.68,-65.95,-62.29,-48.85
